id_tin_đăng,URL,Mã tin,Tên xe,Mô tả,Năm sản xuất,Giá (triệu VND),Số Km đã đi,Dung tích động cơ (lít),Tiêu thụ nhiên liệu sạch,Số cửa sạch,Số chỗ ngồi sạch,id_xuất_xứ,id_tình_trạng,id_dòng_xe,id_màu_ngoại_thất,id_màu_nội_thất,id_hệ_thống_nạp,id_hộp_số,id_dẫn_động,id_loại_nhiên_liệu,id_hãng,id_phân_khúc
11,https://bonbanh.com/xe-ford-transit-cuu-thuong-2023-174951,174951,Xe Ford Transit Cứu thương 2023,"FORD TRANSIT CỨU THƯƠNGĐược hoán cải từ xe Ford Transit 16 chỗ, trang bị đầy đủ tiện nghi sau:- Đèn dài 2 màu xanh đỏ- Đèn tròn 2 cái lắp phía sau trên nóc xe- Amply micro(6 tiếng còi phát loa)- Bình oxy 7 lít + đông hồ- Cáng cứu thương đẩy và gấp được trên xe- Cáng cứu thương cầm tay- Kệ tủ để máy móc, vật dụng y tế- Móc treo truyền dịch, có ray trược- 2 ổ cắm điện 12V- 2 bộ chuyển đổi nguồn 12V ra 220V- Vách ngăn Composite với khoang lái- Ghế băng 4 chỗ ngồi gấp lên được- Dán phim cách nhiệt màu tối- 2 ghế bác sĩ Ford- Dán decan đỏ ngoài xe- Lót sàn simili- Bao hồ sơ",2023,940.0,0.0,2.2,9.0,4.0,7.0,1,1,9,11,6,559,3,6,1,26,139
12,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2022-182003,182003,Xe Toyota Innova E 2.0 MT 2022,"Toyota Innova E Trang bị hộp số sàn 5 cấp, động cơ xăng 2.0L, VVT-i kép, 4 xy lanh thẳng thàng, 16 van DOHC- Kích thước tổng thể: DxRxC(mm): 4735x1830x1795- Cụm đèn trước: Halogen, phản xạ đa chiều, hệ thống điều chỉnh góc chiếu chỉnh tay, gương chiếu hậu chỉnh điện.- Tay lái tích hợp nút tích hợp âm thanh, điện thoại rảnh tay, màn hình đa thông tin- Nội thất trang bị ghế nỉ, điều hoà chỉnh tay 2 dàn lạnh, cửa gió các hàng ghế- Hệ thống âm thanh CD 1 đĩa 6 loa: AM/FM; MP3/WMA; AUX/USB/Bluetooth- Hệ thống an toàn: ABS/EBD/BA, 3 túi khí... ---KHUYẾN MÃITừ 01/06 - 31/07/2018, đến TOY",2022,750.0,0.0,2.0,,5.0,8.0,1,1,4,1,4,341,3,6,4,83,543
13,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2022-182298,182298,Xe Toyota Prado VX 2.7L 2022,"Land Cruiser Prado New. - Trang bị Đèn Full LED , hệ thống rửa đèn , đen sương mù led , lốp xe 19 inch- Gương chiếu hậu chỉnh điện , gập điện , sấy gương , tự đồng điều chỉnh khi lùi xe, đèn chào mừng- Chìa khóa thông minh đề nổ , Camera 360 độ , Gói an toàn Toyota TSS , cảnh báo điểm mù , cảnh báo phương tiện cắt ngang phía sau , điều hòa tự động 2 vùng độc lập, âm thanh 14 loa JBL- tiêu chuẩn khí thải mới uro 5 OBD - màu sắc : Đen , Trắng , đồng....- Anh chị có nhu cầu tìm hiểu xe vui lòng liên hệ em Thảo Toyota Giải Phóng để xem xe và nhận ưu đãi",2022,2588.0,0.0,2.7,10.0,5.0,5.0,2,1,6,11,6,652,4,1,4,83,546
14,https://bonbanh.com/xe-toyota-vios-e-cvt-2022-183963,183963,Xe Toyota Vios E CVT 2022,"Toyota Vios E AT, Xe được trang bị kiểu dáng mới, vành xe mới, Đèn pha Projetor dạng bóng chiếu và sang trọng hơn,xe được trang bị màn hình DVD camera lùi,ghế da, đầy đủ trang thiết bị và an toàn... ----GỌI NGAY ĐỂ NHẬN ĐƯỢC THÔNG TIN GIẢM GIÁ - KHUYẾN MẠI",2022,542.0,0.0,1.5,6.0,4.0,5.0,1,1,7,11,13,498,4,4,4,83,558
15,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2023-203337,203337,Xe Ford Everest Ambiente 2.0L 4x2 AT 2023,"FORD EVEREST AMBIENTE AT 2.0L 4X2- Ngoại thất mạnh mẽ phong cách Cơ Bắp Mỹ- Tăng tối đa khoang hành khách và hành lý, thoải mái hơn khu vực để chân hàng ghế 2 và 3.- Cùng dãy đèn LED cụm chữ C độc đáo- Động cơ dầu 2.0L tiếp kiệm nhiên liệu + số tự động 6 cấp- Phanh tay điện tử hiện đại- Cụm màn hình kỹ thuật số 8""- Hệ thống giải trí thông minh SYNC 4A cảm ứng 10""- Cảm biến + camera sau- 7 túi khí, 8 loa, sạc ko dây- Trang bị ghế da cao cấp- Tay lái trợ lực điện- Trang bị ga tự động Cruise Control và Lim(tốc độ giới hạn)- 4 Phanh đĩa- Điều khiển xe = điện thoại qua Ford Pass",2023,1099.0,0.0,2.0,7.0,5.0,7.0,2,1,6,11,16,434,4,6,1,26,127
16,https://bonbanh.com/xe-toyota-yaris-g-1.5-at-2022-211394,211394,Xe Toyota Yaris G 1.5 AT 2022,"Toyota Yaris nhập khẩu nguyên chiếc Thái Lan, GIAO NGAYHệ thống DVD hoàn hảo kết nối USB/AUX và bluetooth, đàm thoại rảnh tay hiện đại.Động cơ 1.5L, 16 VAN, cam kép DOHC với hệ thống điều phối van biến thiên thông minh VVT-IHệ thống khởi động bằng chìa khóa thông minh Start/Stop, Hệ thống cân bằng điện tử, 07 túi khí, full optionsHộp số tự động 6 cấp mượt mà, êm ái và cực tiết kiệm nhiên liệu.Nhiều màu sắc lựa chọn : Trắng,cam,bạc,đỏ, đen, xanh- Tặng ngay 1 năm bảo hiểm thân vỏ xe trị giá 12.000.000vnd-Quý khách cần tư vấn thêm vui lòng liên hệ Toyota gIải Phóng.xin chân thành cảm ơn",2022,650.0,0.0,1.5,,5.0,5.0,2,1,5,17,6,341,4,4,4,83,561
17,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-304604,304604,Xe Toyota Vios G 1.5 CVT 2022,"Toyota Vios G, Xe được trang bị kiểu dáng mới, vành xe mới, đèn Full LED trẻ trung và hiện đại hơn,xe được trang bị cám biến xung quanh xe, màn hình DVD camera lùi, Ga tự động, chìa khóa thông minh, đầy đủ trang thiết bị và an toàn...---------------------------------------------------------------------GỌI NGAY ĐỂ NHẬN ĐƯỢC THÔNG TIN GIẢM GIÁ - KHUYẾN MẠI",2022,592.0,0.0,1.5,6.0,4.0,5.0,1,1,7,16,6,650,4,4,4,83,558
18,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2022-449343,449343,Xe Mitsubishi Outlander 2.0 CVT 2022,"Tặng Ghế da cao cấp khi mua New Outlander 2.0 CVT Standard.Mitsubishi Outlander Xe lắp ráp trong nướcĐược trang bị công nghệ hiện đại, tiện nghi và an toàn hàng đầu như: Phanh ABS, EBD, BA, Hệ thống cân bằng điện tử ASC, hệ thống khởi hành ngang dốc HSA, hệ thống chống tăng tốc đột ngột, 7 túi khí, cốp sau đóng mở điện, hệ thống đèn pha LED, cảm biến gạt mưa và cảm biến ánh sáng...",2022,825.0,0.0,2.0,8.0,5.0,7.0,1,1,6,11,16,752,4,4,4,61,405
19,https://bonbanh.com/xe-mitsubishi-xpander-1.5-mt-2022-449349,449349,Xe Mitsubishi Xpander 1.5 MT 2022,"Vô lăng có thể điều chỉnh 4 hướng, cao/thấp và xa/gần, giúp người lái dễ dàng tìm được tư thế lái phù hợp. Trang bị hệ thống âm thanh CD 2 DIN với cổng kết nối USB và hệ thống âm thanh 4 loa. Động cơ xăng mã hiệu 4A91 dung tích 1.5L, tích hợp công nghệ điều khiển van biến thiên điện tử MIVEC giúp tăng công suất nhưng vẫn đảm bảo tiết kiệm nhiên liệu tối đa....Quý khách vui lòng liên hệ Mitsubishi Việt Hùng để được tư vấn",2022,555.0,0.0,1.5,6.0,5.0,7.0,1,1,6,1,16,491,3,4,4,61,412
20,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-at-legender-2022-485640,485640,Xe Toyota Fortuner 2.4G 4x2 AT Legender 2022,"Toyota Fortuner V 4x2 AT**KHUYẾN MÃI CỰC HOT TRONG THÁNGLiên hệ để được tư vấn cụ thể và báo giá tốt nhất!***Diện mạo mới khoẻ khoắn mà lịch lãm giúp tôn lên phong thái của chủ sở hữu, Fortuner sẵn sàng cùng bạn kiến tạo những cung đường mới, khai phá những trải nghiệm mới.- Camera 360 độ- Cụm đèn led- Mâm bánh xe 18inch- Cốp tự động rảnh tay- Tự động 2 dàn lạnh, màn hình cảm ứng- Điều chỉnh âm thanh màn hình đa thông tin.",2022,1259.0,0.0,2.4,,5.0,7.0,1,1,6,11,16,341,4,6,1,83,539
21,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2022-485669,485669,Xe Toyota Innova E 2.0 MT 2022,"Toyota Innova E 2.0 MT- Chương trình khuyến mãi hấp dẫn- Đủ màu giao ngay- Xe có sẵn giao ngay, hỗ trợ trả góp lãi suất ưu đãi- Hỗ trợ giao xe tại nhà*** Thiết kế mặt trước thay đổi cá tính và mạnh mẽ hơn với nhiều thay đổi ở cụm đèn trước.Tăng cường tiện nghi hỗ trợ người lái: cảm biễn hỗ trợ đỗ xe (6 điểm), Audio và Camera lùi, kết nối Apple Carplay/Android Auto.",2022,755.0,0.0,2.0,,5.0,8.0,1,1,4,11,10,341,3,6,4,83,543
22,https://bonbanh.com/xe-toyota-innova-e-2.0-mt-2022-485675,485675,Xe Toyota Innova E 2.0 MT 2022,"Toyota Innova E 2.0 MT- Chương trình khuyến mãi hấp dẫn- Đủ màu giao ngay- Xe có sẵn giao ngay, hỗ trợ trả góp lãi suất ưu đãi- Hỗ trợ giao xe tại nhà*** Thiết kế mặt trước thay đổi cá tính và mạnh mẽ hơn với nhiều thay đổi ở cụm đèn trước.Tăng cường tiện nghi hỗ trợ người lái: cảm biễn hỗ trợ đỗ xe (6 điểm), Audio và Camera lùi, kết nối Apple Carplay/Android Auto.",2022,755.0,0.0,2.0,,5.0,8.0,1,1,4,1,10,341,3,6,4,83,543
23,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2022-485696,485696,Xe Toyota Prado VX 2.7L 2022,"Toyota Land Cruiser Prado VXĐộng cơ 2.7l, xe nhập khẩu. Hệ thống âm thanh DVD/9 loa, Radio AM – FM, kết nối Bluetooth – Ipod - USB, màn hình hiển thị đa thông tin,phím điều khiển tích hợp trên vô lăng, điều hòa tự động 03 vùng, cửa gió hàng ghế sau, hệ thống lọc và kiểm soát chất lượng không khí, đèn pha cảm biến tự động....",2022,2588.0,0.0,2.7,,5.0,7.0,2,1,6,16,4,341,4,1,4,83,546
24,https://bonbanh.com/xe-hyundai-hd-320-2017-515018,515018,Xe Hyundai HD 320 2017,"Chuyên bán Xe tải Hyundai HD320-30Tấn Nhập Khẩu Nguyên Chiếc chính hãng 100% Hàn Quốc:+Ga cơ(340PS) - Ga điện(380PS) siêu tiết kiệm nhiên liệu+Thùng dài: 9.700 x 2.500 x 2.400m+Bảo hành 2 năm chính hãng-XE và THÙNG =>CÓ SẴN-GIAO NGAY -Giá tốt nhất =>NHẬN Đóng mới tất cả các loại thùng theo yêu cầu-Hỗ trợ mua TRẢ GÓP đến 85% giá trị xe, lãi suất ưu đãi =>A/C cần mua xe vui lòng liên hệ sớm để biết chi tiểt",2017,1750.0,0.0,11.1,,2.0,2.0,2,1,8,11,4,611,3,1,1,37,187
25,https://bonbanh.com/xe-volvo-xc90-inscription-b6-awd-2023-531808,531808,Xe Volvo XC90 Inscription B6 AWD 2023,"Giao xe sớm - Volvo XC90 B6 Ultimate Bright model 2023 mới nhất - Phiên bản cao cấp nhất toàn cầu.Full option : Hộp số điện tử, cần số Pha lê Orrefors, Hệ âm thanh Bowers & Wilkins danh tiếng ( 1460w, 19 loa + subwoofer)Hệ thống treo khí nén, đèn full LED thông minh. Cửa sổ trời toàn cảnh Panorama , Ghế da Nappa cao cấp, Camera 360, Nội thất ốp gỗ Walnut, điều hòa 4 vùng, Clean zone lọc bụi mịn PM25, headup display...Các tính năng an toàn nhất được trang bị đầy đủ : Hệ thống lái tự động, Bám đuôi và giữ khoảng cách an toàn với xe trước...Vui lòng liên hệ để biết thêm thông tin chi tiết,",2023,4050.0,0.0,2.0,,5.0,7.0,2,1,6,11,13,341,4,3,4,89,605
26,https://bonbanh.com/xe-isuzu-qkr-iz65-2t5-3t5-bat-2022-560029,560029,Xe Isuzu QKR IZ65 2t5-3t5 BẠT 2022,"=>Trả trước 150 triệu có ngay Xe ISUZU IZ65 CAO CẤP 2022-Tải trọng : 1,9T - 2,5T - 3,5T- KÍCH THƯỚC THÙNG LỚN: 4500 x 1950 x 1890 mm- Động cơ: ISUZU cao cấp -Thế hệ mới, rất khỏe - êm ái- bền-tiết kiệm dầu- Công suất : 120ps- Cỡ Lốp xe : 7.00-Cabin rộng, nội thất sang trọng -Trang bị tiện nghi: Máy lạnh, kính chỉnh điện, chìa khóa thông minh, ABS, phanh KHÍ XẢ an toàn-QUÀ TẶNG:định vị, phù hiệu,Camera hành trình-Đóng các loại Thùng theo yêu cầu-Bảo hành 3 năm và cung cấp PHỤ TÙNG chính hãng-Ngân hàng hỗ trợ 80% giá trị xe, thủ tục nhanh-Hỗ trợ đăng ký, đăng kiểm - Giao xe tận nơi",2022,435.0,0.0,,,2.0,3.0,2,1,8,11,6,610,3,6,1,39,232
27,https://bonbanh.com/xe-hyundai-hd-ben-15-tan-2022-587030,587030,Xe Hyundai HD Ben 15 Tấn 2022,"=>Chỉ 400 triệu có ngay xe BEN DAEWOO 15 Tấn nhập khẩu Hàn Quốc- HỖ TRỢ TRẢ GÓP LÊN ĐẾN 85% , thủ tục nhanh- Nhiều khuyến mãi hấp dẫn- Tải trọng: 15T- Thể tích thùng: 10,5K- Công suất động cơ: 350ps- Hiệu suất “ĐỈNH”: Động cơ Doosan Hàn Quốc tải siêu khỏe, bền bỉ & ổn định trên mọi địa hình- Thiết kế “ĐỈNH”: Kiểu dáng khí động học, Chassis 3lớp ,Đèn Projector phản xạ đa hướng- Tiện ích “ĐỈNH”: Nâng cabin bằng điện, Ga tự động Cruise Control, Điều hòa, Chế độ Auto tự bật đèn khi trời tối, MP3.-Bảo hành & cung cấp phụ tùng chính hãng-Giá chưa Vat=>GIÁ TỐT - Giao xe tận nơi !",2022,1750.0,0.0,,,2.0,3.0,2,1,8,11,6,610,3,6,1,37,187
28,https://bonbanh.com/xe-honda-city-rs-1.5-at-2023-694755,694755,Xe Honda City RS 1.5 AT 2023,"Honda City – Tiết kiệm nhiên liệu vượt trội & Rộng rãi nhất phân khúcHonda City 1.5 được trang bị THÊM:+ Hộp số tự động vô cấp CVT, lẫy chuyển số vô lăng+ Cân bằng điện tử VSA+ Hỗ trợ khởi hành ngang dốc HAS+ Phân bổ lực phanh điện tử EBD+ Màn hình cảm ứng, Camera lùi 3 góc quay+ Ghế da, đèn pha& đèn chạy ban ngày Led+ Chế độ rảnh chân ga Cruise Control+ Thêm Túi khí bên& Túi khí rèm+ Âm thanh đỉnh với 8 loa+ Cửa gió điều hòa hàng ghế phía sau+ Đề nổ Start/Stop, Chìa khoá thông minh + Đàm thoại rảnh tay, nghe nhạc Bluetooth+ Kiểu dáng thể thao bắt mắt!Hỗ trợ vay vốn ngân hàng, thủ tục nhanh gọnQuý khách liên hệ Honda Ô Tô Tây Hồ để nhận ưu đãi tốt nhất !!!!!",2023,599.0,0.0,1.5,,4.0,5.0,1,1,7,10,16,341,4,4,4,34,160
29,https://bonbanh.com/xe-daewoo-novus-ben-15-tan-2022-698859,698859,Xe Daewoo Novus BEN 15 Tấn 2022,"=>Chỉ từ 400 triệu có ngay xe BEN DAEWOO 15 Tấn nhập khẩu Hàn Quốc - HỖ TRỢ TRẢ GÓP LÊN ĐẾN 85% , thủ tục nhanh - Nhiều khuyến mãi hấp dẫn - Tải trọng: 15T- Thể tích thùng: 10,5K- Công suất động cơ: 350ps- Hiệu suất “ĐỈNH”: Động cơ Doosan Hàn Quốc tải siêu khỏe, bền bỉ & ổn định trên mọi địa hình- Thiết kế “ĐỈNH”: Kiểu dáng khí động học, Chassis 3lớp ,Đèn Projector phản xạ đa hướng- Tiện ích “ĐỈNH”: Nâng cabin bằng điện, Ga tự động Cruise Control, Điều hòa, Chế độ Auto tự bật đèn khi trời tối, MP3. -Bảo hành & cung cấp phụ tùng chính hãng -Giá chưa Vat=>GIÁ TỐT - Giao xe tận nơi !",2022,1690.0,0.0,,,2.0,3.0,2,1,8,11,6,607,3,6,1,19,98
30,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2023-747206,747206,Xe Toyota Vios E 1.5 MT 2023,"TOYOTA VIOS 1.5E SỐ SÀN KHUYẾN MÃI KHỦNG:+ Tặng gói phụ kiện lắp thêm cho xe+ Tặng 10 phần quà chỉ có tại Toyota Cần Thơ+ Hỗ trợ thủ tục trả góp- Hỗ trợ trả góp 80% giá trị xe- Lãi suất thấp chỉ từ 0.25%/ tháng- Thời gian cho vay lên đến 84 tháng- Hỗ trợ đăng ký đăng kiểmLiên hệ ngay nhân viên tư vấn+ Động cơ Dual VVT_i- Êm ái tiết kiệm nhiên liệu.+ Ghế da cao cấp + DVD + camera lùi, cảm biến góc, cảm biến de+ Hệ thống an toàn 5 sao: 07 túi khí, cân bằng điện tử VSC, EBD, ABS, BA, cảm biến de ...",2023,489.0,0.0,1.5,5.0,4.0,5.0,1,1,7,11,16,491,3,4,4,83,558
